DATE,CPI
2022/8/1,-0.035439928
2022/9/1,0.215078451
2022/10/1,0.405649443
2022/11/1,-0.101002644
2022/12/1,-0.307009146
2023/1/1,0.799536383
2023/2/1,0.558211051
2023/3/1,0.331072996
2023/4/1,0.505903868
2023/5/1,0.251843501
2023/6/1,0.322891424
2023/7/1,0.190751502
2023/8/1,0.436715507
2023/9/1,0.248513155
2023/10/1,-0.038337952
2023/11/1,-0.201513955
2023/12/1,-0.099332033
2024/1/1,0.54475038
2024/2/1,0.618967178
2024/3/1,0.646416994
