DATE,INDPRO
1999/3/1,87.9125
1999/4/1,88.1082
1999/5/1,88.6483
1999/6/1,88.5903
1999/7/1,89.1098
1999/8/1,89.5007
1999/9/1,89.1304
1999/10/1,90.2709
1999/11/1,90.7528
1999/12/1,91.4784
2000/1/1,91.4092
2000/2/1,91.7245
2000/3/1,92.083
2000/4/1,92.6659
2000/5/1,92.9347
2000/6/1,93.0018
2000/7/1,92.8373
2000/8/1,92.591
2000/9/1,92.9827
2000/10/1,92.64
2000/11/1,92.6604
2000/12/1,92.3457
2001/1/1,91.8908
2001/2/1,91.2851
2001/3/1,91.0585
2001/4/1,90.7384
2001/5/1,90.2607
2001/6/1,89.7811
2001/7/1,89.2352
2001/8/1,89.157
2001/9/1,88.6749
2001/10/1,88.4051
2001/11/1,87.886
2001/12/1,87.8518
2002/1/1,88.4634
2002/2/1,88.4578
2002/3/1,89.1265
2002/4/1,89.5507
2002/5/1,89.9348
2002/6/1,90.6736
2002/7/1,90.6436
2002/8/1,90.5505
2002/9/1,90.6373
2002/10/1,90.3988
2002/11/1,90.8947
2002/12/1,90.3906
2003/1/1,91.1369
2003/2/1,91.2505
2003/3/1,91.0006
2003/4/1,90.4311
2003/5/1,90.4
2003/6/1,90.5196
2003/7/1,90.9869
2003/8/1,90.7933
2003/9/1,91.3819
2003/10/1,91.5049
2003/11/1,92.1265
2003/12/1,92.1732
2004/1/1,92.3268
2004/2/1,92.8995
2004/3/1,92.5368
2004/4/1,92.8957
2004/5/1,93.5845
2004/6/1,92.8651
2004/7/1,93.5502
2004/8/1,93.6301
2004/9/1,93.7353
2004/10/1,94.5695
2004/11/1,94.8015
2004/12/1,95.5415
2005/1/1,95.8785
2005/2/1,96.5709
2005/3/1,96.4345
2005/4/1,96.6347
2005/5/1,96.7251
2005/6/1,97.1483
2005/7/1,96.8397
2005/8/1,97.1584
2005/9/1,95.2764
2005/10/1,96.4411
2005/11/1,97.5016
2005/12/1,97.9723
2006/1/1,98.127
2006/2/1,98.1687
2006/3/1,98.3913
2006/4/1,98.6826
2006/5/1,98.7074
2006/6/1,99.0398
2006/7/1,98.9751
2006/8/1,99.4047
2006/9/1,99.2246
2006/10/1,99.1229
2006/11/1,99.0963
2006/12/1,100.1125
2007/1/1,99.7546
2007/2/1,100.7166
2007/3/1,100.8952
2007/4/1,101.5723
2007/5/1,101.6269
2007/6/1,101.6547
2007/7/1,101.4953
2007/8/1,101.6943
2007/9/1,101.9428
2007/10/1,101.6446
2007/11/1,102.2167
2007/12/1,102.2764
2008/1/1,102.1493
2008/2/1,101.7756
2008/3/1,101.4508
2008/4/1,100.7554
2008/5/1,100.1336
2008/6/1,99.8728
2008/7/1,99.4194
2008/8/1,97.8491
2008/9/1,93.5576
2008/10/1,94.4985
2008/11/1,93.2617
2008/12/1,90.6266
2009/1/1,88.3712
2009/2/1,87.843
2009/3/1,86.4689
2009/4/1,85.7903
2009/5/1,84.9436
2009/6/1,84.6746
2009/7/1,85.6853
2009/8/1,86.6393
2009/9/1,87.3821
2009/10/1,87.5809
2009/11/1,87.9388
2009/12/1,88.2404
2010/1/1,89.1897
2010/2/1,89.5046
2010/3/1,90.1356
2010/4/1,90.4607
2010/5/1,91.7014
2010/6/1,91.9033
2010/7/1,92.2549
2010/8/1,92.5936
2010/9/1,92.8533
2010/10/1,92.6033
2010/11/1,92.6686
2010/12/1,93.5916
2011/1/1,93.3889
2011/2/1,93.0045
2011/3/1,93.9684
